FirstName,LastName,Email,Phone,Address,City,State,ZipCode,Country,OrderDate,Time,ShippingAddress,OrderStatus,ProductName,ProductPrice,Category,Quantity,TransactionID,StoreLocation
Patricia,Alvarez,mooneyshawn@example.org,+61-3-7428-8553,9 James Riviera,St. Amyburgh,South Australia,2668,Australia,26/12/2023,07:26:32,Suite 971 6 Mclaughlin Rise,Pending,Dell XPS 13,1500,Electronics,1,18df82d8-6942-4bc6-bc95-42d53c007afb,Adelaide
Patricia,Alvarez,mooneyshawn@example.org,+61-3-7428-8553,9 James Riviera,St. Amyburgh,South Australia,2668,Australia,26/12/2023,10:47:26,690 Cervantes Subway,Pending,Nike T-Shirt,25,Clothing,1,18df82d8-6942-4bc6-bc95-42d53c007afb,Brisbane
Patricia,Alvarez,mooneyshawn@example.org,+61-3-7428-8553,9 James Riviera,St. Amyburgh,South Australia,2668,Australia,26/12/2023,10:28:57,Suite 998 74 Gonzalez Promenade,Pending,Samsung Refrigerator,1800,Home Appliances,2,18df82d8-6942-4bc6-bc95-42d53c007afb,Sydney
William,Barnes,gregorywagner@example.net,(08)10083463,88 Baxter Crescent,St. Denise,Northern Territory,4102,Australia,26/12/2023,13:24:49,Suite 562 756 Ashley Round,Pending,iPhone 13,1200,Electronics,1,375408d8-2dcb-431c-ab63-88c92479580a,Perth
Sarah,Mckenzie,jonesshawn@example.com,+61 410 464 061,104 Harris Loop,East Samantha,Victoria,2981,Australia,26/12/2023,09:16:08,4/33 Mckinney Deviation,Pending,Levi's 501 Jeans,100,Clothing,1,03e18336-6359-4f9c-9e28-316376411b47,Melbourne
Sarah,Mckenzie,jonesshawn@example.com,+61 410 464 061,104 Harris Loop,East Samantha,Victoria,2981,Australia,26/12/2023,18:56:15,Suite 244 35 William Flat,Pending,Adidas Running Shoes,70,Footwear,3,03e18336-6359-4f9c-9e28-316376411b47,Brisbane
Sarah,Mckenzie,jonesshawn@example.com,+61 410 464 061,104 Harris Loop,East Samantha,Victoria,2981,Australia,26/12/2023,02:56:05,Unit 85 354 Martinez Upper,Pending,iPhone 13,1200,Electronics,3,03e18336-6359-4f9c-9e28-316376411b47,Perth
Philip,Gardner,briannaberry@example.com,84438694,Suite 733 7 Mario Crossroad,Lake Suzanne,South Australia,2684,Australia,26/12/2023,12:21:49,Level 1 92 Jason Vista,Pending,Levi's 501 Jeans,100,Clothing,3,7eae9145-fe4e-4ae8-8c49-da198ea253d7,Adelaide
Philip,Gardner,briannaberry@example.com,84438694,Suite 733 7 Mario Crossroad,Lake Suzanne,South Australia,2684,Australia,26/12/2023,16:28:14,Level 9 076 Nicole Vista,Pending,Adidas Running Shoes,70,Footwear,3,7eae9145-fe4e-4ae8-8c49-da198ea253d7,Sydney
Philip,Gardner,briannaberry@example.com,84438694,Suite 733 7 Mario Crossroad,Lake Suzanne,South Australia,2684,Australia,26/12/2023,02:18:10,95/947 Marissa Roads,Pending,Nike T-Shirt,25,Clothing,3,7eae9145-fe4e-4ae8-8c49-da198ea253d7,Brisbane
Philip,Choi,ivalencia@example.net,(02).3376.5112,415/58 Montes Gardens,Alexanderchester,Western Australia,2920,Australia,26/12/2023,02:52:08,932/791 Fernando Brae,Pending,iPhone 13,1200,Electronics,1,8174bb52-1c28-4080-8910-607ceca75506,Perth
Philip,Choi,ivalencia@example.net,(02).3376.5112,415/58 Montes Gardens,Alexanderchester,Western Australia,2920,Australia,26/12/2023,07:22:19,161 Collins Garden,Pending,Adidas Running Shoes,70,Footwear,1,8174bb52-1c28-4080-8910-607ceca75506,Brisbane
Philip,Choi,ivalencia@example.net,(02).3376.5112,415/58 Montes Gardens,Alexanderchester,Western Australia,2920,Australia,26/12/2023,12:55:05,763 Tammy Glade,Pending,Levi's 501 Jeans,100,Clothing,3,8174bb52-1c28-4080-8910-607ceca75506,Brisbane
Philip,Choi,ivalencia@example.net,(02).3376.5112,415/58 Montes Gardens,Alexanderchester,Western Australia,2920,Australia,26/12/2023,11:53:04,461 Casey Tollway,Pending,LG Washing Machine,800,Home Appliances,1,8174bb52-1c28-4080-8910-607ceca75506,Sydney
Michael,Sanchez,zacharymorales@example.com,0480-170-331,0/31 Patrick Underpass,Brendaborough,Victoria,2408,Australia,26/12/2023,07:30:43,1 Adam Fairway,Pending,Adidas Running Shoes,70,Footwear,3,581c79f6-d5bd-48a3-868e-2416620895c9,Brisbane
Michael,Sanchez,zacharymorales@example.com,0480-170-331,0/31 Patrick Underpass,Brendaborough,Victoria,2408,Australia,26/12/2023,03:31:41,37 James Lower,Pending,iPhone 13,1200,Electronics,1,581c79f6-d5bd-48a3-868e-2416620895c9,Perth
Cristina,Vaughn,brenda99@example.com,0360562572,50 Cobb Roadway,Nicholasmouth,South Australia,2912,Australia,26/12/2023,03:56:12,Level 6 9 Melissa Track,Pending,Samsung Refrigerator,1800,Home Appliances,3,7eee4b7e-306c-4902-9acb-6d7bfea99a33,Perth
Eric,Hanson,allisonwise@example.net,+61 2 8098 9094,8 Andrea Trailer,St. Taraland,Tasmania,0975,Australia,26/12/2023,00:57:59,1/56 Martinez River,Pending,Levi's 501 Jeans,100,Clothing,1,30f1f141-511e-4a47-9682-f50172800f0d,Sydney
Eric,Hanson,allisonwise@example.net,+61 2 8098 9094,8 Andrea Trailer,St. Taraland,Tasmania,0975,Australia,26/12/2023,08:49:55,185/76 Stewart Esplanade,Pending,iPhone 13,1200,Electronics,3,30f1f141-511e-4a47-9682-f50172800f0d,Brisbane
Eric,Hanson,allisonwise@example.net,+61 2 8098 9094,8 Andrea Trailer,St. Taraland,Tasmania,0975,Australia,26/12/2023,02:17:41,102/07 Munoz End,Pending,Samsung Refrigerator,1800,Home Appliances,2,30f1f141-511e-4a47-9682-f50172800f0d,Sydney
Bailey,English,thomaskyle@example.com,+61-475-533-154,07 Rachael Ridge,St. Melissaport,Australian Capital Territory,6530,Australia,26/12/2023,05:09:08,Flat 33 961 Whitney Bridge,Pending,Nike T-Shirt,25,Clothing,1,0f2e8707-9490-4af3-b52d-876c6b6186f6,Sydney
Bailey,English,thomaskyle@example.com,+61-475-533-154,07 Rachael Ridge,St. Melissaport,Australian Capital Territory,6530,Australia,26/12/2023,21:18:56,880/2 Jennifer Ridgeway,Pending,Samsung Refrigerator,1800,Home Appliances,2,0f2e8707-9490-4af3-b52d-876c6b6186f6,Sydney
Bailey,English,thomaskyle@example.com,+61-475-533-154,07 Rachael Ridge,St. Melissaport,Australian Capital Territory,6530,Australia,26/12/2023,01:43:37,7/8 Collins Pathway,Pending,Levi's 501 Jeans,100,Clothing,2,0f2e8707-9490-4af3-b52d-876c6b6186f6,Melbourne
Bailey,English,thomaskyle@example.com,+61-475-533-154,07 Rachael Ridge,St. Melissaport,Australian Capital Territory,6530,Australia,26/12/2023,11:20:16,7 Cooper Park,Pending,LG Washing Machine,800,Home Appliances,2,0f2e8707-9490-4af3-b52d-876c6b6186f6,Adelaide
Maria,Huffman,joyjones@example.org,(07)86644378,60/45 Matthew Promenade,St. Teresa,Australian Capital Territory,2138,Australia,26/12/2023,11:00:09,Level 7 7 Hoffman Stairs,Pending,iPhone 13,1200,Electronics,1,b1687dba-542a-4f0c-aee0-584af2fcdd53,Adelaide
Maria,Huffman,joyjones@example.org,(07)86644378,60/45 Matthew Promenade,St. Teresa,Australian Capital Territory,2138,Australia,26/12/2023,12:50:09,584 Moore Mount,Pending,Adidas Running Shoes,70,Footwear,3,b1687dba-542a-4f0c-aee0-584af2fcdd53,Brisbane
Teresa,Ward,zsuarez@example.org,(03)11163213,Apt. 905 22 Mccullough Quay,Dixonton,Northern Territory,4759,Australia,26/12/2023,23:24:35,675 Ann Gate,Pending,iPhone 13,1200,Electronics,1,968fec92-7602-467d-b208-1a61cabb26a1,Brisbane
Teresa,Ward,zsuarez@example.org,(03)11163213,Apt. 905 22 Mccullough Quay,Dixonton,Northern Territory,4759,Australia,26/12/2023,12:39:52,822/053 Mcdonald Right Of Way,Pending,LG Washing Machine,800,Home Appliances,3,968fec92-7602-467d-b208-1a61cabb26a1,Perth
Teresa,Ward,zsuarez@example.org,(03)11163213,Apt. 905 22 Mccullough Quay,Dixonton,Northern Territory,4759,Australia,26/12/2023,19:07:05,923 Lawson Crescent,Pending,Nike T-Shirt,25,Clothing,2,968fec92-7602-467d-b208-1a61cabb26a1,Brisbane
Teresa,Ward,zsuarez@example.org,(03)11163213,Apt. 905 22 Mccullough Quay,Dixonton,Northern Territory,4759,Australia,26/12/2023,15:09:52,22 Krause Wynd,Pending,Samsung Refrigerator,1800,Home Appliances,1,968fec92-7602-467d-b208-1a61cabb26a1,Brisbane
Teresa,Ward,zsuarez@example.org,(03)11163213,Apt. 905 22 Mccullough Quay,Dixonton,Northern Territory,4759,Australia,26/12/2023,15:56:17,181 Gregory Gap,Pending,Dell XPS 13,1500,Electronics,3,968fec92-7602-467d-b208-1a61cabb26a1,Adelaide
James,Bradley,wmerritt@example.org,02.0169.2300,889/22 Priscilla Drive,Phillipsport,Western Australia,2991,Australia,26/12/2023,20:44:31,Suite 430 4 Chambers Quadrangle,Pending,Samsung Refrigerator,1800,Home Appliances,2,28be1a83-7f44-4582-a6a8-21c81303f916,Perth
James,Bradley,wmerritt@example.org,02.0169.2300,889/22 Priscilla Drive,Phillipsport,Western Australia,2991,Australia,26/12/2023,12:24:32,Level 3 46 James Interchange,Pending,LG Washing Machine,800,Home Appliances,2,28be1a83-7f44-4582-a6a8-21c81303f916,Sydney
Jill,Jones,patkinson@example.com,0440 032 433,Unit 30 23 Garcia Highway,East Jamesburgh,Victoria,2626,Australia,26/12/2023,01:51:36,947 Carney Spur,Pending,Levi's 501 Jeans,100,Clothing,2,cdbb641f-defc-40d2-977f-72e73b9a8825,Adelaide
Penny,Riley,gutierrezbrianna@example.net,(08) 0938 2280,93 Henry Strip,New Stevenburgh,Western Australia,2281,Australia,26/12/2023,00:23:42,34 David Top,Pending,Levi's 501 Jeans,100,Clothing,1,ec9b4c7b-ee58-43ac-80fa-2225082c3de4,Perth
Penny,Riley,gutierrezbrianna@example.net,(08) 0938 2280,93 Henry Strip,New Stevenburgh,Western Australia,2281,Australia,26/12/2023,20:27:03,90/333 Susan Laneway,Pending,Dell XPS 13,1500,Electronics,3,ec9b4c7b-ee58-43ac-80fa-2225082c3de4,Melbourne
Penny,Riley,gutierrezbrianna@example.net,(08) 0938 2280,93 Henry Strip,New Stevenburgh,Western Australia,2281,Australia,26/12/2023,11:19:58,27/2 Doyle Steps,Pending,LG Washing Machine,800,Home Appliances,3,ec9b4c7b-ee58-43ac-80fa-2225082c3de4,Sydney
David,Mckenzie,twilson@example.com,+61 406 290 683,5 Vargas Promenade,South Patriciaton,Queensland,2883,Australia,26/12/2023,15:20:03,707 Jennings Rue,Pending,Harry Potter Book,20,Books,3,5ed54aa2-b817-47f8-b2a6-e72929694c28,Brisbane
David,Mckenzie,twilson@example.com,+61 406 290 683,5 Vargas Promenade,South Patriciaton,Queensland,2883,Australia,26/12/2023,01:55:10,5 Robert Meander,Pending,Levi's 501 Jeans,100,Clothing,2,5ed54aa2-b817-47f8-b2a6-e72929694c28,Adelaide
David,Mckenzie,twilson@example.com,+61 406 290 683,5 Vargas Promenade,South Patriciaton,Queensland,2883,Australia,26/12/2023,02:32:08,103 Luis Fairway,Pending,Nike T-Shirt,25,Clothing,1,5ed54aa2-b817-47f8-b2a6-e72929694c28,Melbourne
David,Bryant,james36@example.org,+61 8 3266 9581,112 Lewis Wynd,St. Pamela,Australian Capital Territory,2920,Australia,26/12/2023,06:15:56,Level 9 70 Allen Quadrangle,Pending,Harry Potter Book,20,Books,2,5b2e82c6-694c-413d-9e3b-a85b3f997dc1,Melbourne
David,Bryant,james36@example.org,+61 8 3266 9581,112 Lewis Wynd,St. Pamela,Australian Capital Territory,2920,Australia,26/12/2023,15:33:13,641 Delgado Trunkway,Pending,iPhone 13,1200,Electronics,1,5b2e82c6-694c-413d-9e3b-a85b3f997dc1,Brisbane
Lori,Evans,brendasullivan@example.org,(07)-9351-6056,22 Warren Ronde,South Jennifer,South Australia,2611,Australia,26/12/2023,13:16:39,Apt. 168 76 Thomas Rest,Pending,Nike T-Shirt,25,Clothing,2,654d899d-21b7-445f-9d8d-1535dce2c3dc,Perth
Lori,Evans,brendasullivan@example.org,(07)-9351-6056,22 Warren Ronde,South Jennifer,South Australia,2611,Australia,26/12/2023,20:00:21,3/815 Patel Frontage,Pending,Levi's 501 Jeans,100,Clothing,3,654d899d-21b7-445f-9d8d-1535dce2c3dc,Brisbane
Lori,Evans,brendasullivan@example.org,(07)-9351-6056,22 Warren Ronde,South Jennifer,South Australia,2611,Australia,26/12/2023,10:37:37,0 Jordan Meander,Pending,Adidas Running Shoes,70,Footwear,2,654d899d-21b7-445f-9d8d-1535dce2c3dc,Perth
Melissa,Johnson,emilyreyes@example.com,7426.4319,7 Matthew Crossroad,South Michellefort,Victoria,2645,Australia,26/12/2023,02:12:51,6/0 Karen Tollway,Pending,Levi's 501 Jeans,100,Clothing,2,c3d8efdb-370e-4303-a98a-b56ab2b4f23a,Perth
Melissa,Johnson,emilyreyes@example.com,7426.4319,7 Matthew Crossroad,South Michellefort,Victoria,2645,Australia,26/12/2023,19:44:20,Level 4 4 Ramos Circus,Pending,Samsung Refrigerator,1800,Home Appliances,1,c3d8efdb-370e-4303-a98a-b56ab2b4f23a,Perth
Melissa,Johnson,emilyreyes@example.com,7426.4319,7 Matthew Crossroad,South Michellefort,Victoria,2645,Australia,26/12/2023,20:02:43,Level 4 999 Williams Trail,Pending,Adidas Running Shoes,70,Footwear,2,c3d8efdb-370e-4303-a98a-b56ab2b4f23a,Perth
Melissa,Johnson,emilyreyes@example.com,7426.4319,7 Matthew Crossroad,South Michellefort,Victoria,2645,Australia,26/12/2023,06:05:18,710 Crystal Ramp,Pending,Harry Potter Book,20,Books,2,c3d8efdb-370e-4303-a98a-b56ab2b4f23a,Melbourne
Jacob,Christensen,cameron05@example.org,+61 7 2513 3561,45 Shaw Outlook,Stevenshire,Western Australia,2646,Australia,26/12/2023,06:16:48,Level 0 83 Karen Subway,Pending,Dell XPS 13,1500,Electronics,1,d4385110-e697-4617-ba91-8834561a2486,Perth
Jacob,Christensen,cameron05@example.org,+61 7 2513 3561,45 Shaw Outlook,Stevenshire,Western Australia,2646,Australia,26/12/2023,13:35:27,44 Drake Block,Pending,Nike T-Shirt,25,Clothing,3,d4385110-e697-4617-ba91-8834561a2486,Perth
Kiara,Morgan,paul85@example.org,07 6720 7863,55/4 Walker Parkway,East Robertport,Northern Territory,2674,Australia,26/12/2023,12:19:06,Flat 29 84 Daniel Crossing,Pending,LG Washing Machine,800,Home Appliances,1,9e2aa53b-bceb-412f-9c05-b0cf2db874f6,Melbourne
Kiara,Morgan,paul85@example.org,07 6720 7863,55/4 Walker Parkway,East Robertport,Northern Territory,2674,Australia,26/12/2023,00:19:25,Flat 67 573 Archer Track,Pending,Dell XPS 13,1500,Electronics,1,9e2aa53b-bceb-412f-9c05-b0cf2db874f6,Perth
Mark,Chambers,sherry82@example.net,07 3627 3298,Unit 04 212 Bailey Siding,Port Meghanview,Northern Territory,2683,Australia,26/12/2023,06:30:54,Suite 911 15 Kimberly Strand,Pending,Adidas Running Shoes,70,Footwear,3,9955635a-26f3-424a-9f9c-ab124c6fdab0,Melbourne
Mark,Chambers,sherry82@example.net,07 3627 3298,Unit 04 212 Bailey Siding,Port Meghanview,Northern Territory,2683,Australia,26/12/2023,15:57:24,Level 2 401 Wilson Service Way,Pending,Nike T-Shirt,25,Clothing,2,9955635a-26f3-424a-9f9c-ab124c6fdab0,Sydney
Mark,Chambers,sherry82@example.net,07 3627 3298,Unit 04 212 Bailey Siding,Port Meghanview,Northern Territory,2683,Australia,26/12/2023,12:23:42,6/94 James Cruiseway,Pending,Levi's 501 Jeans,100,Clothing,2,9955635a-26f3-424a-9f9c-ab124c6fdab0,Perth
Mark,Chambers,sherry82@example.net,07 3627 3298,Unit 04 212 Bailey Siding,Port Meghanview,Northern Territory,2683,Australia,26/12/2023,18:58:16,1/66 Bryan Esplanade,Pending,LG Washing Machine,800,Home Appliances,2,9955635a-26f3-424a-9f9c-ab124c6fdab0,Brisbane
Angela,Morales,kathryn60@example.org,9909 1094,2 Weiss Cutting,Patrickborough,Tasmania,2921,Australia,26/12/2023,02:01:54,Flat 27 3 Fields Siding,Pending,Levi's 501 Jeans,100,Clothing,2,65786f24-8969-4264-98e3-a453a2522658,Perth
Angela,Morales,kathryn60@example.org,9909 1094,2 Weiss Cutting,Patrickborough,Tasmania,2921,Australia,26/12/2023,11:49:04,20/00 Noah Square,Pending,Dell XPS 13,1500,Electronics,2,65786f24-8969-4264-98e3-a453a2522658,Sydney
Angela,Morales,kathryn60@example.org,9909 1094,2 Weiss Cutting,Patrickborough,Tasmania,2921,Australia,26/12/2023,13:07:34,0/97 Wilkerson Retreat,Pending,Nike T-Shirt,25,Clothing,1,65786f24-8969-4264-98e3-a453a2522658,Adelaide
Ronald,Decker,jsims@example.com,+61 474 643 391,912/97 Ronald Drive,Heatherborough,New South Wales,2619,Australia,26/12/2023,07:49:54,Suite 828 8 Dorothy Parade,Pending,Harry Potter Book,20,Books,1,0d20519f-8224-4965-9b34-23896c61f87c,Perth
Ronald,Decker,jsims@example.com,+61 474 643 391,912/97 Ronald Drive,Heatherborough,New South Wales,2619,Australia,26/12/2023,00:15:38,148 Maria Firetrail,Pending,LG Washing Machine,800,Home Appliances,3,0d20519f-8224-4965-9b34-23896c61f87c,Brisbane
Ronald,Decker,jsims@example.com,+61 474 643 391,912/97 Ronald Drive,Heatherborough,New South Wales,2619,Australia,26/12/2023,03:01:48,290/092 Mcgee Dell,Pending,Levi's 501 Jeans,100,Clothing,1,0d20519f-8224-4965-9b34-23896c61f87c,Sydney
Mark,Chapman,austingilbert@example.net,03-6619-7489,3/28 Gabriella Parklands,St. David,Queensland,2905,Australia,26/12/2023,20:44:02,15 Karen Cul-de-sac,Pending,Harry Potter Book,20,Books,2,7093e4a5-d25e-41e0-8241-0ae09f5e6626,Sydney
Mark,Chapman,austingilbert@example.net,03-6619-7489,3/28 Gabriella Parklands,St. David,Queensland,2905,Australia,26/12/2023,07:36:57,39 Baxter Landing,Pending,LG Washing Machine,800,Home Appliances,3,7093e4a5-d25e-41e0-8241-0ae09f5e6626,Adelaide
Joshua,White,matthewmooney@example.org,(03)-4853-7098,Level 8 0 Cortez Alley,Callahanshire,New South Wales,2623,Australia,26/12/2023,14:46:01,548 Combs Gate,Pending,Samsung Refrigerator,1800,Home Appliances,2,07d68b15-5195-4eb0-884c-cfe26d3a576f,Melbourne
Joel,Hayes,mchavez@example.net,(02)34894795,589/44 Donald Link,North Melissa,Queensland,2921,Australia,26/12/2023,15:44:01,Unit 66 713 Parker Vale,Pending,Dell XPS 13,1500,Electronics,1,e2bf37d1-92a3-4375-92c9-425d74867df4,Perth
Joel,Hayes,mchavez@example.net,(02)34894795,589/44 Donald Link,North Melissa,Queensland,2921,Australia,26/12/2023,13:08:15,Unit 78 790 Kennedy Colonnade,Pending,LG Washing Machine,800,Home Appliances,3,e2bf37d1-92a3-4375-92c9-425d74867df4,Adelaide
Joel,Hayes,mchavez@example.net,(02)34894795,589/44 Donald Link,North Melissa,Queensland,2921,Australia,26/12/2023,23:23:58,690 Nicole Grange,Pending,Samsung Refrigerator,1800,Home Appliances,2,e2bf37d1-92a3-4375-92c9-425d74867df4,Adelaide
Sandy,Adams,stephaniewright@example.net,02 1295 5281,48 Matthew Laneway,Port Danielside,Northern Territory,2716,Australia,26/12/2023,22:47:31,9 Keith Grove,Pending,iPhone 13,1200,Electronics,1,6ee5b55e-f44a-47ca-83be-d17ee00e321a,Perth
Sandy,Adams,stephaniewright@example.net,02 1295 5281,48 Matthew Laneway,Port Danielside,Northern Territory,2716,Australia,26/12/2023,04:24:52,169 Justin River,Pending,Harry Potter Book,20,Books,2,6ee5b55e-f44a-47ca-83be-d17ee00e321a,Melbourne
Sandy,Adams,stephaniewright@example.net,02 1295 5281,48 Matthew Laneway,Port Danielside,Northern Territory,2716,Australia,26/12/2023,00:41:53,4 Dixon Brae,Pending,Samsung Refrigerator,1800,Home Appliances,3,6ee5b55e-f44a-47ca-83be-d17ee00e321a,Brisbane
Sandy,Adams,stephaniewright@example.net,02 1295 5281,48 Matthew Laneway,Port Danielside,Northern Territory,2716,Australia,26/12/2023,18:22:52,337 Emily Parade,Pending,Adidas Running Shoes,70,Footwear,1,6ee5b55e-f44a-47ca-83be-d17ee00e321a,Sydney
Sandy,Adams,stephaniewright@example.net,02 1295 5281,48 Matthew Laneway,Port Danielside,Northern Territory,2716,Australia,26/12/2023,22:27:20,802 David Nook,Pending,Dell XPS 13,1500,Electronics,3,6ee5b55e-f44a-47ca-83be-d17ee00e321a,Sydney
Paul,Taylor,bcline@example.org,0454-501-813,3/57 Sharp Rosebowl,St. Johnport,South Australia,2529,Australia,26/12/2023,10:34:48,Suite 254 540 West Mews,Pending,Samsung Refrigerator,1800,Home Appliances,1,90ef2556-a24d-428a-b090-928333cf94e1,Adelaide
Jacob,Pittman,frankamy@example.com,+61734870565,37 Bentley Part,Nicholeville,New South Wales,0255,Australia,26/12/2023,05:22:42,69 Alexander Fire Track,Pending,Adidas Running Shoes,70,Footwear,3,c7cdd3f6-d6be-4e4a-a134-ac51723e9106,Sydney
Jacob,Pittman,frankamy@example.com,+61734870565,37 Bentley Part,Nicholeville,New South Wales,0255,Australia,26/12/2023,08:06:39,2/5 David Tarn,Pending,Nike T-Shirt,25,Clothing,1,c7cdd3f6-d6be-4e4a-a134-ac51723e9106,Brisbane
Jacob,Pittman,frankamy@example.com,+61734870565,37 Bentley Part,Nicholeville,New South Wales,0255,Australia,26/12/2023,14:35:08,722 James Dip,Pending,Levi's 501 Jeans,100,Clothing,1,c7cdd3f6-d6be-4e4a-a134-ac51723e9106,Brisbane
Jacob,Pittman,frankamy@example.com,+61734870565,37 Bentley Part,Nicholeville,New South Wales,0255,Australia,26/12/2023,17:02:02,49/30 Keith Cul-de-sac,Pending,iPhone 13,1200,Electronics,2,c7cdd3f6-d6be-4e4a-a134-ac51723e9106,Melbourne
Jacob,Pittman,frankamy@example.com,+61734870565,37 Bentley Part,Nicholeville,New South Wales,0255,Australia,26/12/2023,15:54:37,702 Tricia Upper,Pending,Dell XPS 13,1500,Electronics,2,c7cdd3f6-d6be-4e4a-a134-ac51723e9106,Perth
Luke,Larson,zjones@example.net,(02).4303.5405,Unit 66 240 Rebecca Causeway,Beckerport,South Australia,5341,Australia,26/12/2023,07:54:41,Suite 641 34 Garcia Lookout,Pending,Nike T-Shirt,25,Clothing,2,f6e13c6a-5c90-4545-931b-a8c23880daa6,Perth
Shannon,Nichols,gordonrichard@example.net,+61 7 6204 3800,242 Jessica Subway,Jessicamouth,Northern Territory,2911,Australia,26/12/2023,23:48:23,8 Alfred Ridge,Pending,Harry Potter Book,20,Books,1,6ab4de38-9d8c-4ff4-bfcf-798a75bafb58,Melbourne
Shannon,Nichols,gordonrichard@example.net,+61 7 6204 3800,242 Jessica Subway,Jessicamouth,Northern Territory,2911,Australia,26/12/2023,20:15:39,1 Cathy Chase,Pending,Nike T-Shirt,25,Clothing,3,6ab4de38-9d8c-4ff4-bfcf-798a75bafb58,Sydney
Shannon,Nichols,gordonrichard@example.net,+61 7 6204 3800,242 Jessica Subway,Jessicamouth,Northern Territory,2911,Australia,26/12/2023,12:50:17,3 Yoder Concourse,Pending,Levi's 501 Jeans,100,Clothing,1,6ab4de38-9d8c-4ff4-bfcf-798a75bafb58,Melbourne
Traci,Schneider,ann65@example.com,+61-468-678-514,379 Mark Street,North Jamesport,Western Australia,2920,Australia,26/12/2023,07:18:56,7/572 Carr Point,Pending,Levi's 501 Jeans,100,Clothing,2,8dcd24e4-62aa-4314-9f14-8fec2172bf72,Sydney
Traci,Schneider,ann65@example.com,+61-468-678-514,379 Mark Street,North Jamesport,Western Australia,2920,Australia,26/12/2023,18:53:42,930 Henderson Row,Pending,LG Washing Machine,800,Home Appliances,2,8dcd24e4-62aa-4314-9f14-8fec2172bf72,Sydney
Traci,Schneider,ann65@example.com,+61-468-678-514,379 Mark Street,North Jamesport,Western Australia,2920,Australia,26/12/2023,21:01:59,8 Susan Break,Pending,Adidas Running Shoes,70,Footwear,3,8dcd24e4-62aa-4314-9f14-8fec2172bf72,Sydney
Traci,Schneider,ann65@example.com,+61-468-678-514,379 Mark Street,North Jamesport,Western Australia,2920,Australia,26/12/2023,18:37:50,7 Murray Front,Pending,iPhone 13,1200,Electronics,2,8dcd24e4-62aa-4314-9f14-8fec2172bf72,Sydney
