FirstName,LastName,Email,Phone,Address,City,State,ZipCode,Country,OrderDate,Time,ShippingAddress,OrderStatus,ProductName,ProductPrice,Category,Quantity,TransactionID
Robert,Glass,knoxamy@example.org,+61 7 1483 5967,6 Michael Mall,Port Jay,Australian Capital Territory,2991,Australia,26/12/2023,11:49:53,Apt. 874 836 Zachary Mount,Pending,LG Washing Machine,800,Home Appliances,2,8013e15f-598d-4a30-a003-81218dd8cd89
Rebecca,Miranda,ovasquez@example.net,2352-1448,5 Harris Key,Christystad,New South Wales,2190,Australia,26/12/2023,6:12:25,345 Mccormick Stairs,Pending,iPhone 13,1200,Electronics,1,4da60a3c-52a0-4da1-9ba0-39eea68ea278
Rebecca,Miranda,ovasquez@example.net,2352-1448,5 Harris Key,Christystad,New South Wales,2190,Australia,26/12/2023,13:59:47,Suite 230 41 Cox Brace,Pending,Adidas Running Shoes,70,Footwear,3,4da60a3c-52a0-4da1-9ba0-39eea68ea278
Rebecca,Miranda,ovasquez@example.net,2352-1448,5 Harris Key,Christystad,New South Wales,2190,Australia,26/12/2023,14:45:35,Apt. 382 346 Stephanie Colonnade,Pending,Samsung Refrigerator,1800,Home Appliances,3,4da60a3c-52a0-4da1-9ba0-39eea68ea278
Steven,Bell,eswanson@example.org,0476-482-712,Suite 135 95 Rebecca Dip,Oliverbury,Western Australia,9811,Australia,26/12/2023,9:12:38,8 Robert Extension,Pending,Nike T-Shirt,25,Clothing,3,8fbd249e-718b-49f3-8912-8ca1ed48c3a9
Lisa,Robertson,webbkaylee@example.net,(07)87661738,4 Cassie Arcade,North Christopher,Northern Territory,2931,Australia,26/12/2023,15:24:40,Apt. 751 79 Lisa Upper,Pending,Samsung Refrigerator,1800,Home Appliances,1,02a3520a-af6b-435d-90d1-50239b98948d
Samantha,Sawyer,pdavis@example.com,0423 556 861,2 Park Rue,Tammyport,South Australia,2997,Australia,26/12/2023,17:03:59,Level 0 9 David Key,Pending,iPhone 13,1200,Electronics,3,c9a2b003-485c-4526-9b7a-b7f5ff806dbd
Samantha,Sawyer,pdavis@example.com,0423 556 861,2 Park Rue,Tammyport,South Australia,2997,Australia,26/12/2023,13:28:36,33 Thomas Gap,Pending,Adidas Running Shoes,70,Footwear,2,c9a2b003-485c-4526-9b7a-b7f5ff806dbd
Samantha,Sawyer,pdavis@example.com,0423 556 861,2 Park Rue,Tammyport,South Australia,2997,Australia,26/12/2023,4:50:57,46 Holly Mall,Pending,Samsung Refrigerator,1800,Home Appliances,1,c9a2b003-485c-4526-9b7a-b7f5ff806dbd
Gregory,Henson,john92@example.org,0473 041 670,Suite 920 452 Alice Footway,North Michaelstad,Queensland,889,Australia,26/12/2023,11:09:53,Unit 36 59 Mary Cul-de-sac,Pending,Levi's 501 Jeans,100,Clothing,1,b0883968-b030-45a0-ab99-572e571a5a44
Gregory,Henson,john92@example.org,0473 041 670,Suite 920 452 Alice Footway,North Michaelstad,Queensland,889,Australia,26/12/2023,10:56:56,3/766 Emily Estate,Pending,iPhone 13,1200,Electronics,2,b0883968-b030-45a0-ab99-572e571a5a44
Gregory,Henson,john92@example.org,0473 041 670,Suite 920 452 Alice Footway,North Michaelstad,Queensland,889,Australia,26/12/2023,16:35:57,Apt. 948 71 Weber Trail,Pending,Adidas Running Shoes,70,Footwear,2,b0883968-b030-45a0-ab99-572e571a5a44
Gregory,Henson,john92@example.org,0473 041 670,Suite 920 452 Alice Footway,North Michaelstad,Queensland,889,Australia,26/12/2023,2:56:59,657/53 Burns Upper,Pending,Harry Potter Book,20,Books,1,b0883968-b030-45a0-ab99-572e571a5a44
Richard,Reynolds,znorman@example.net,+61.3.6518.9155,616 Emma Crest,Jasonfort,South Australia,2663,Australia,26/12/2023,12:04:02,726/73 Matthew Formation,Pending,Samsung Refrigerator,1800,Home Appliances,3,473acf83-bf47-4f1b-b7ec-f9fc1c2a4a3b
Richard,Reynolds,znorman@example.net,+61.3.6518.9155,616 Emma Crest,Jasonfort,South Australia,2663,Australia,26/12/2023,22:08:32,88 Obrien Grange,Pending,Adidas Running Shoes,70,Footwear,2,473acf83-bf47-4f1b-b7ec-f9fc1c2a4a3b
Richard,Reynolds,znorman@example.net,+61.3.6518.9155,616 Emma Crest,Jasonfort,South Australia,2663,Australia,26/12/2023,13:01:09,7/6 Christensen Roadside,Pending,Harry Potter Book,20,Books,2,473acf83-bf47-4f1b-b7ec-f9fc1c2a4a3b
Richard,Reynolds,znorman@example.net,+61.3.6518.9155,616 Emma Crest,Jasonfort,South Australia,2663,Australia,26/12/2023,11:49:36,Suite 257 807 Wilcox Link,Pending,iPhone 13,1200,Electronics,1,473acf83-bf47-4f1b-b7ec-f9fc1c2a4a3b
Richard,Reynolds,znorman@example.net,+61.3.6518.9155,616 Emma Crest,Jasonfort,South Australia,2663,Australia,26/12/2023,14:26:13,7 Torres Quadrant,Pending,Levi's 501 Jeans,100,Clothing,3,473acf83-bf47-4f1b-b7ec-f9fc1c2a4a3b
Tracy,Newman,rhodeslaura@example.com,(02).9109.4305,Apt. 451 62 Javier Siding,Webermouth,New South Wales,2948,Australia,26/12/2023,12:33:22,5 Carol Firetrail,Pending,Harry Potter Book,20,Books,3,2282f53d-bab9-4dcd-ac81-1458ae7cdfce
Tracy,Newman,rhodeslaura@example.com,(02).9109.4305,Apt. 451 62 Javier Siding,Webermouth,New South Wales,2948,Australia,26/12/2023,6:07:51,737 Cline Run,Pending,Levi's 501 Jeans,100,Clothing,3,2282f53d-bab9-4dcd-ac81-1458ae7cdfce
Tracy,Newman,rhodeslaura@example.com,(02).9109.4305,Apt. 451 62 Javier Siding,Webermouth,New South Wales,2948,Australia,26/12/2023,16:38:37,6 Brittney Expressway,Pending,Samsung Refrigerator,1800,Home Appliances,2,2282f53d-bab9-4dcd-ac81-1458ae7cdfce
Tracy,Newman,rhodeslaura@example.com,(02).9109.4305,Apt. 451 62 Javier Siding,Webermouth,New South Wales,2948,Australia,26/12/2023,1:10:04,Level 0 63 William Follow,Pending,Nike T-Shirt,25,Clothing,2,2282f53d-bab9-4dcd-ac81-1458ae7cdfce
Katherine,Lewis,robert93@example.net,(08)-5697-8972,8 Rodney Rotary,Lake Brian,Queensland,2619,Australia,26/12/2023,3:10:21,66 Torres Lower,Pending,LG Washing Machine,800,Home Appliances,2,51a914a1-cd31-4878-8e9e-626d7201a82a
Katherine,Lewis,robert93@example.net,(08)-5697-8972,8 Rodney Rotary,Lake Brian,Queensland,2619,Australia,26/12/2023,1:12:26,853 Tara Parklands,Pending,Dell XPS 13,1500,Electronics,3,51a914a1-cd31-4878-8e9e-626d7201a82a
Katherine,Lewis,robert93@example.net,(08)-5697-8972,8 Rodney Rotary,Lake Brian,Queensland,2619,Australia,26/12/2023,21:16:40,56 Chang Glade,Pending,iPhone 13,1200,Electronics,2,51a914a1-cd31-4878-8e9e-626d7201a82a
Katherine,Lewis,robert93@example.net,(08)-5697-8972,8 Rodney Rotary,Lake Brian,Queensland,2619,Australia,26/12/2023,10:34:44,Flat 13 9 Cole Meander,Pending,Levi's 501 Jeans,100,Clothing,1,51a914a1-cd31-4878-8e9e-626d7201a82a
Jason,Smith,bethanymiles@example.com,5802 9566,Unit 42 7 Christopher Elbow,Browningbury,Western Australia,3786,Australia,26/12/2023,6:22:44,76 Jessica Anchorage,Pending,Dell XPS 13,1500,Electronics,2,16e25b35-65b8-40e1-a664-44c44fcaad6e
Jason,Smith,bethanymiles@example.com,5802 9566,Unit 42 7 Christopher Elbow,Browningbury,Western Australia,3786,Australia,26/12/2023,2:21:57,3/438 Lori Port,Pending,Adidas Running Shoes,70,Footwear,1,16e25b35-65b8-40e1-a664-44c44fcaad6e
Jason,Smith,bethanymiles@example.com,5802 9566,Unit 42 7 Christopher Elbow,Browningbury,Western Australia,3786,Australia,26/12/2023,7:27:09,2 Patricia Crescent,Pending,Levi's 501 Jeans,100,Clothing,2,16e25b35-65b8-40e1-a664-44c44fcaad6e
Jason,Smith,bethanymiles@example.com,5802 9566,Unit 42 7 Christopher Elbow,Browningbury,Western Australia,3786,Australia,26/12/2023,3:58:45,Suite 019 41 Smith Ring,Pending,Samsung Refrigerator,1800,Home Appliances,2,16e25b35-65b8-40e1-a664-44c44fcaad6e
Andrew,Barrett,ashley26@example.org,24677647,5/2 Alexander Link,Matthewland,Northern Territory,2368,Australia,26/12/2023,19:59:14,478 Michael Circus,Pending,iPhone 13,1200,Electronics,1,172916cf-c3a6-4f43-a4fe-9fa65f5180ed
Andrew,Barrett,ashley26@example.org,24677647,5/2 Alexander Link,Matthewland,Northern Territory,2368,Australia,26/12/2023,17:40:05,Unit 82 82 Mckee Riviera,Pending,Harry Potter Book,20,Books,1,172916cf-c3a6-4f43-a4fe-9fa65f5180ed
Andrew,Barrett,ashley26@example.org,24677647,5/2 Alexander Link,Matthewland,Northern Territory,2368,Australia,26/12/2023,13:17:36,68 Kevin Glen,Pending,Levi's 501 Jeans,100,Clothing,3,172916cf-c3a6-4f43-a4fe-9fa65f5180ed
Mitchell,Miller,zyoung@example.net,5488 3908,5 Curtis Dip,Lake Christophermouth,New South Wales,6490,Australia,26/12/2023,10:07:50,Suite 028 050 Tina Sound,Pending,Nike T-Shirt,25,Clothing,2,9ed65015-7803-41c6-bb16-11044b3dc757
Mitchell,Miller,zyoung@example.net,5488 3908,5 Curtis Dip,Lake Christophermouth,New South Wales,6490,Australia,26/12/2023,11:32:21,Apt. 811 3 Miles Byway,Pending,Adidas Running Shoes,70,Footwear,1,9ed65015-7803-41c6-bb16-11044b3dc757
Mitchell,Miller,zyoung@example.net,5488 3908,5 Curtis Dip,Lake Christophermouth,New South Wales,6490,Australia,26/12/2023,1:16:31,463 Barr Pocket,Pending,Harry Potter Book,20,Books,1,9ed65015-7803-41c6-bb16-11044b3dc757
Andre,Torres,tannerdiane@example.com,(08) 1139 4106,6/868 Pamela Trail,Lake Sherrystad,Western Australia,2974,Australia,26/12/2023,23:38:05,357/249 Kathleen Part,Pending,Samsung Refrigerator,1800,Home Appliances,1,029d6f66-0827-47ce-b7f4-fa0bcdd38d71
Andre,Torres,tannerdiane@example.com,(08) 1139 4106,6/868 Pamela Trail,Lake Sherrystad,Western Australia,2974,Australia,26/12/2023,21:31:20,025 Schroeder Boulevard,Pending,Dell XPS 13,1500,Electronics,1,029d6f66-0827-47ce-b7f4-fa0bcdd38d71
Andre,Torres,tannerdiane@example.com,(08) 1139 4106,6/868 Pamela Trail,Lake Sherrystad,Western Australia,2974,Australia,26/12/2023,9:38:13,10 Ryan Amble,Pending,Nike T-Shirt,25,Clothing,1,029d6f66-0827-47ce-b7f4-fa0bcdd38d71
Mark,Henderson,mark39@example.com,+61 2 1445 1672,9 Perez Piazza,Lake Reginaldfort,Northern Territory,215,Australia,26/12/2023,20:19:05,Flat 71 5 Skinner Basin,Pending,Levi's 501 Jeans,100,Clothing,3,8d30b590-f12a-4d93-9b40-c34e5261e696
Ariana,Marshall,matthew16@example.net,2036-2752,Level 5 12 Gillespie Strand,West Jamesville,Australian Capital Territory,3109,Australia,26/12/2023,9:00:45,62 Schroeder Key,Pending,LG Washing Machine,800,Home Appliances,1,331f65a2-15f6-470e-a9f7-a61f8c1f6290
Ariana,Marshall,matthew16@example.net,2036-2752,Level 5 12 Gillespie Strand,West Jamesville,Australian Capital Territory,3109,Australia,26/12/2023,5:19:13,9/686 Jason Tarn,Pending,iPhone 13,1200,Electronics,2,331f65a2-15f6-470e-a9f7-a61f8c1f6290
Robert,Bryant,smithelizabeth@example.org,0440 802 648,247 Anna Parklands,Lewisport,Queensland,2612,Australia,26/12/2023,18:34:53,94/2 Wallace Brow,Pending,Levi's 501 Jeans,100,Clothing,1,160b8e80-deb3-4d40-ab44-832933b3d656
Robert,Bryant,smithelizabeth@example.org,0440 802 648,247 Anna Parklands,Lewisport,Queensland,2612,Australia,26/12/2023,10:58:14,4 Morris Place,Pending,LG Washing Machine,800,Home Appliances,1,160b8e80-deb3-4d40-ab44-832933b3d656
Samantha,Obrien,walkerkimberly@example.com,+61 8 2869 1451,Suite 100 995 Jeremy Turn,Ryanville,Victoria,2943,Australia,26/12/2023,21:19:54,Level 9 4 Anthony Footway,Pending,Harry Potter Book,20,Books,3,89aca3a6-43a5-4859-b888-957fa3fddbcf
Samantha,Obrien,walkerkimberly@example.com,+61 8 2869 1451,Suite 100 995 Jeremy Turn,Ryanville,Victoria,2943,Australia,26/12/2023,3:55:29,9/2 Bobby Service Way,Pending,Dell XPS 13,1500,Electronics,1,89aca3a6-43a5-4859-b888-957fa3fddbcf
Matthew,Davis,schneidernancy@example.org,-1485,77 Taylor Spur,Port Angelica,Tasmania,2957,Australia,26/12/2023,8:31:49,Unit 71 2 Earl Ronde,Pending,Dell XPS 13,1500,Electronics,3,e23683e5-3beb-42f0-b928-1d976f116186
Matthew,Davis,schneidernancy@example.org,-1485,77 Taylor Spur,Port Angelica,Tasmania,2957,Australia,26/12/2023,21:52:42,Level 1 1 Anderson Parkway,Pending,Adidas Running Shoes,70,Footwear,3,e23683e5-3beb-42f0-b928-1d976f116186
Matthew,Davis,schneidernancy@example.org,-1485,77 Taylor Spur,Port Angelica,Tasmania,2957,Australia,26/12/2023,6:52:19,Apt. 822 51 Steven Colonnade,Pending,iPhone 13,1200,Electronics,2,e23683e5-3beb-42f0-b928-1d976f116186
Angela,Larsen,idaniels@example.net,0441.271.139,62/10 Michael Mews,Brownport,Tasmania,2955,Australia,26/12/2023,18:41:31,48 Karen Bypass,Pending,Samsung Refrigerator,1800,Home Appliances,3,831ae036-e8d1-4027-9cf5-b4128ca8c7b0
Craig,Smith,davidsonjustin@example.com,0428.602.517,67/0 Zachary Pocket,West Christinamouth,Western Australia,2638,Australia,26/12/2023,15:29:22,Suite 518 72 Krause Upper,Pending,Nike T-Shirt,25,Clothing,3,740a6f7b-fe61-4ad2-97e9-037097a66486
Craig,Smith,davidsonjustin@example.com,0428.602.517,67/0 Zachary Pocket,West Christinamouth,Western Australia,2638,Australia,26/12/2023,8:49:34,0/592 Derrick Plaza,Pending,LG Washing Machine,800,Home Appliances,2,740a6f7b-fe61-4ad2-97e9-037097a66486
Craig,Smith,davidsonjustin@example.com,0428.602.517,67/0 Zachary Pocket,West Christinamouth,Western Australia,2638,Australia,26/12/2023,2:58:26,8 Martin Gate,Pending,Dell XPS 13,1500,Electronics,3,740a6f7b-fe61-4ad2-97e9-037097a66486
Craig,Smith,davidsonjustin@example.com,0428.602.517,67/0 Zachary Pocket,West Christinamouth,Western Australia,2638,Australia,26/12/2023,23:10:47,949 Myers Copse,Pending,Samsung Refrigerator,1800,Home Appliances,1,740a6f7b-fe61-4ad2-97e9-037097a66486
Shane,Davis,qwilkinson@example.com,3064 8117,86 Allen Wynd,Serranobury,South Australia,2926,Australia,26/12/2023,3:11:27,9 Hamilton Ramp,Pending,Levi's 501 Jeans,100,Clothing,1,15fd9b92-1a89-46d3-b86e-2e7020a6e44d
Taylor,Shepherd,michael21@example.org,0444.568.850,91 Melissa Concourse,Port Megan,South Australia,6630,Australia,26/12/2023,17:00:11,Apt. 491 800 Dodson Elbow,Pending,Harry Potter Book,20,Books,1,820c2133-bfb6-4a39-9dc4-ca6f66238c13
Tammy,Jordan,jeffrey53@example.org,+61.408.880.191,84/055 Brenda Ridge,West Jeffrey,South Australia,2956,Australia,26/12/2023,6:05:19,Apt. 261 3 Estes Laneway,Pending,LG Washing Machine,800,Home Appliances,1,33ebe125-4a9f-4507-b127-86df69359c07
Tammy,Jordan,jeffrey53@example.org,+61.408.880.191,84/055 Brenda Ridge,West Jeffrey,South Australia,2956,Australia,26/12/2023,4:25:57,9/8 Phillip Quad,Pending,Nike T-Shirt,25,Clothing,2,33ebe125-4a9f-4507-b127-86df69359c07
Tammy,Jordan,jeffrey53@example.org,+61.408.880.191,84/055 Brenda Ridge,West Jeffrey,South Australia,2956,Australia,26/12/2023,6:43:26,516 Edward River,Pending,Levi's 501 Jeans,100,Clothing,1,33ebe125-4a9f-4507-b127-86df69359c07
Tammy,Jordan,jeffrey53@example.org,+61.408.880.191,84/055 Brenda Ridge,West Jeffrey,South Australia,2956,Australia,26/12/2023,16:52:09,41 Dominique Point,Pending,Adidas Running Shoes,70,Footwear,1,33ebe125-4a9f-4507-b127-86df69359c07
Tammy,Jordan,jeffrey53@example.org,+61.408.880.191,84/055 Brenda Ridge,West Jeffrey,South Australia,2956,Australia,26/12/2023,1:54:20,Flat 80 08 Johnson Front,Pending,Harry Potter Book,20,Books,1,33ebe125-4a9f-4507-b127-86df69359c07
Carly,Davis,santosbryan@example.net,+61 8 1333 4706,865 Amy Line,West Ashley,Victoria,995,Australia,26/12/2023,15:59:32,Flat 01 03 Jensen Underpass,Pending,Samsung Refrigerator,1800,Home Appliances,2,49e313ed-8cde-4ce4-87e9-4a38e60711fb
Carly,Davis,santosbryan@example.net,+61 8 1333 4706,865 Amy Line,West Ashley,Victoria,995,Australia,26/12/2023,17:14:56,233 Taylor Trunkway,Pending,LG Washing Machine,800,Home Appliances,2,49e313ed-8cde-4ce4-87e9-4a38e60711fb
Carly,Davis,santosbryan@example.net,+61 8 1333 4706,865 Amy Line,West Ashley,Victoria,995,Australia,26/12/2023,2:13:37,56 Phelps Colonnade,Pending,Nike T-Shirt,25,Clothing,3,49e313ed-8cde-4ce4-87e9-4a38e60711fb
John,Ward,williamsdarlene@example.com,+61 479 344 601,1 Alexandra Round,West Tamiland,Victoria,2316,Australia,26/12/2023,19:31:00,101 Lawson Alley,Pending,iPhone 13,1200,Electronics,2,2b46ebe6-120b-4c20-b104-ce0a8bd05ce6
John,Ward,williamsdarlene@example.com,+61 479 344 601,1 Alexandra Round,West Tamiland,Victoria,2316,Australia,26/12/2023,17:10:27,3 Green Access,Pending,Adidas Running Shoes,70,Footwear,2,2b46ebe6-120b-4c20-b104-ce0a8bd05ce6
John,Ward,williamsdarlene@example.com,+61 479 344 601,1 Alexandra Round,West Tamiland,Victoria,2316,Australia,26/12/2023,18:57:12,Level 5 853 Wilson Ridge,Pending,Harry Potter Book,20,Books,1,2b46ebe6-120b-4c20-b104-ce0a8bd05ce6
Christopher,Ferguson,drakeangela@example.com,0428-806-677,281 Parker Outlook,Gordonfort,Victoria,2636,Australia,26/12/2023,2:16:39,Apt. 010 087 Tammy Crossway,Pending,iPhone 13,1200,Electronics,2,aa046d65-711b-46aa-8381-451f19a96e98
Christopher,Ferguson,drakeangela@example.com,0428-806-677,281 Parker Outlook,Gordonfort,Victoria,2636,Australia,26/12/2023,11:06:55,624 Stephanie Crossing,Pending,Samsung Refrigerator,1800,Home Appliances,2,aa046d65-711b-46aa-8381-451f19a96e98
Christopher,Ferguson,drakeangela@example.com,0428-806-677,281 Parker Outlook,Gordonfort,Victoria,2636,Australia,26/12/2023,14:34:13,40 Estes Ramble,Pending,Nike T-Shirt,25,Clothing,1,aa046d65-711b-46aa-8381-451f19a96e98
Anthony,Jones,cheryl07@example.net,+61.473.044.423,90 King Line,Blakechester,South Australia,4279,Australia,26/12/2023,6:54:02,Level 4 204 Hunter Plaza,Pending,Samsung Refrigerator,1800,Home Appliances,1,ba139838-6920-4c49-a4d9-e094b4c8803b
Anthony,Jones,cheryl07@example.net,+61.473.044.423,90 King Line,Blakechester,South Australia,4279,Australia,26/12/2023,21:24:34,Apt. 781 0 Lawrence Trunkway,Pending,Levi's 501 Jeans,100,Clothing,1,ba139838-6920-4c49-a4d9-e094b4c8803b
Olivia,Mcguire,joshuajones@example.com,(02)-0128-3075,Flat 01 20 Douglas Port,Port Crystalstad,Victoria,2963,Australia,26/12/2023,11:27:22,5 Lee Circle,Pending,Harry Potter Book,20,Books,2,79f540f4-362c-4bb7-aa37-c9068412cf99
Olivia,Mcguire,joshuajones@example.com,(02)-0128-3075,Flat 01 20 Douglas Port,Port Crystalstad,Victoria,2963,Australia,26/12/2023,22:50:43,6/0 Teresa Follow,Pending,Nike T-Shirt,25,Clothing,3,79f540f4-362c-4bb7-aa37-c9068412cf99
Olivia,Mcguire,joshuajones@example.com,(02)-0128-3075,Flat 01 20 Douglas Port,Port Crystalstad,Victoria,2963,Australia,26/12/2023,11:40:38,625 Jasmine Drive,Pending,Samsung Refrigerator,1800,Home Appliances,3,79f540f4-362c-4bb7-aa37-c9068412cf99
Olivia,Mcguire,joshuajones@example.com,(02)-0128-3075,Flat 01 20 Douglas Port,Port Crystalstad,Victoria,2963,Australia,26/12/2023,9:23:26,Flat 74 86 Amy Lees,Pending,Dell XPS 13,1500,Electronics,2,79f540f4-362c-4bb7-aa37-c9068412cf99
